"type","value","label","description"
"trusted_domain","google.com","safe","Official Google domain"
"trusted_domain","amazon.com","safe","Official Amazon domain"
"trusted_domain","amazon.in","safe","Official Amazon India domain"
"trusted_domain","youtube.com","safe","Official YouTube domain"
"trusted_domain","paypal.com","safe","Official PayPal domain"
"trusted_domain","paypal.me","safe","Official PayPal domain"
"trusted_domain","linkedin.com","safe","Official LinkedIn domain"
"trusted_domain","netflix.com","safe","Official Netflix domain"
"trusted_domain","apple.com","safe","Official Apple domain"
"trusted_domain","appleid.apple.com","safe","Official Apple ID domain"
"trusted_domain","support.apple.com","safe","Official Apple Support domain"
"trusted_domain","icloud.com","safe","Official iCloud domain"
"trusted_domain","microsoft.com","safe","Official Microsoft domain"
"trusted_domain","account.microsoft.com","safe","Official Microsoft Account domain"
"trusted_domain","security.microsoft.com","safe","Official Microsoft Security domain"
"trusted_domain","office.com","safe","Official Microsoft Office domain"
"trusted_domain","facebook.com","safe","Official Facebook domain"
"trusted_domain","instagram.com","safe","Official Instagram domain"
"trusted_domain","twitter.com","safe","Official Twitter domain"
"trusted_domain","x.com","safe","Official X/Twitter domain"
"trusted_domain","dropbox.com","safe","Official Dropbox domain"
"trusted_domain","github.com","safe","Official GitHub domain"
"trusted_domain","gitlab.com","safe","Official GitLab domain"
"trusted_domain","bitbucket.org","safe","Official Bitbucket domain"
"trusted_domain","reddit.com","safe","Official Reddit domain"
"trusted_domain","ebay.com","safe","Official eBay domain"
"trusted_domain","bestbuy.com","safe","Official Best Buy domain"
"trusted_domain","walmart.com","safe","Official Walmart domain"
"trusted_domain","target.com","safe","Official Target domain"
"trusted_domain","costco.com","safe","Official Costco domain"
"trusted_domain","fedex.com","safe","Official FedEx domain"
"trusted_domain","ups.com","safe","Official UPS domain"
"trusted_domain","usps.com","safe","Official USPS domain"
"trusted_domain","bankofamerica.com","safe","Official Bank of America domain"
"trusted_domain","chase.com","safe","Official Chase Bank domain"
"trusted_domain","wellsfargo.com","safe","Official Wells Fargo domain"
"trusted_domain","capitalone.com","safe","Official Capital One domain"
"trusted_domain","citi.com","safe","Official Citibank domain"
"trusted_domain","americanexpress.com","safe","Official American Express domain"
"trusted_domain","venmo.com","safe","Official Venmo domain"
"trusted_domain","cashapp.com","safe","Official Cash App domain"
"trusted_domain","coinbase.com","safe","Official Coinbase domain"
"trusted_domain","binance.com","safe","Official Binance domain"
"trusted_domain","kraken.com","safe","Official Kraken domain"
"trusted_domain","irs.gov","safe","Official IRS domain"
"trusted_domain","hulu.com","safe","Official Hulu domain"
"trusted_domain","spotify.com","safe","Official Spotify domain"
"trusted_domain","slack.com","safe","Official Slack domain"
"trusted_domain","zoom.us","safe","Official Zoom domain"
"trusted_domain","heroku.com","safe","Official Heroku domain"
"trusted_domain","digitalocean.com","safe","Official DigitalOcean domain"
"trusted_domain","cloudflare.com","safe","Official Cloudflare domain"
"trusted_domain","godaddy.com","safe","Official GoDaddy domain"
"trusted_domain","namecheap.com","safe","Official Namecheap domain"
"trusted_domain","shopify.com","safe","Official Shopify domain"
"trusted_domain","airbnb.com","safe","Official Airbnb domain"
"trusted_domain","uber.com","safe","Official Uber domain"
"trusted_domain","lyft.com","safe","Official Lyft domain"
"trusted_domain","doordash.com","safe","Official DoorDash domain"
"trusted_domain","grubhub.com","safe","Official Grubhub domain"
"trusted_domain","steamcommunity.com","safe","Official Steam Community domain"
"trusted_domain","steampowered.com","safe","Official Steam Powered domain"
"trusted_domain","twitch.tv","safe","Official Twitch domain"
"trusted_domain","discord.com","safe","Official Discord domain"
"trusted_domain","outlook.com","safe","Official Outlook domain"
"trusted_domain","onedrive.com","safe","Official OneDrive domain"
"trusted_domain","tiktok.com","safe","Official TikTok domain"
"trusted_domain","whatsapp.com","safe","Official WhatsApp domain"
"trusted_domain","telegram.org","safe","Official Telegram domain"
"trusted_domain","signal.org","safe","Official Signal domain"
"trusted_domain","medium.com","safe","Official Medium domain"
"trusted_domain","notion.so","safe","Official Notion domain"
"trusted_domain","figma.com","safe","Official Figma domain"
"trusted_domain","canva.com","safe","Official Canva domain"
"trusted_domain","adobe.com","safe","Official Adobe domain"
"trusted_domain","atlassian.com","safe","Official Atlassian domain"
"trusted_domain","jetbrains.com","safe","Official JetBrains domain"
"trusted_domain","npmjs.com","safe","Official npm domain"
"trusted_domain","pypi.org","safe","Official PyPI domain"
"trusted_domain","docker.com","safe","Official Docker domain"
"trusted_domain","kubernetes.io","safe","Official Kubernetes domain"
"trusted_domain","aws.amazon.com","safe","Official AWS domain"
"trusted_domain","azure.microsoft.com","safe","Official Azure domain"
"trusted_domain","cloud.google.com","safe","Official Google Cloud domain"
"trusted_domain","salesforce.com","safe","Official Salesforce domain"
"trusted_domain","zendesk.com","safe","Official Zendesk domain"
"trusted_domain","intercom.com","safe","Official Intercom domain"
"trusted_domain","stripe.com","safe","Official Stripe domain"
"trusted_domain","squareup.com","safe","Official Square domain"
"trusted_domain","braintreepayments.com","safe","Official Braintree domain"
"trusted_domain","plaid.com","safe","Official Plaid domain"
"trusted_domain","robinhood.com","safe","Official Robinhood domain"
"trusted_domain","webull.com","safe","Official Webull domain"
"trusted_domain","etrade.com","safe","Official E*Trade domain"
"trusted_domain","schwab.com","safe","Official Charles Schwab domain"
"trusted_domain","fidelity.com","safe","Official Fidelity domain"
"trusted_domain","vanguard.com","safe","Official Vanguard domain"
"trusted_domain","t-mobile.com","safe","Official T-Mobile domain"
"trusted_domain","att.com","safe","Official AT&T domain"
"trusted_domain","verizon.com","safe","Official Verizon domain"
"trusted_domain","comcast.net","safe","Official Comcast domain"
"trusted_domain","snap.com","safe","Official Snap domain"
"typo_domain","paypa1.com","phishing","Typo of PayPal"
"typo_domain","paypai.com","phishing","Typo of PayPal"
"typo_domain","payp4l.com","phishing","Typo of PayPal"
"typo_domain","p4ypal.com","phishing","Typo of PayPal"
"typo_domain","amaz0n.com","phishing","Typo of Amazon"
"typo_domain","amazom.com","phishing","Typo of Amazon"
